Timestep, Average Length, Average Reward, Std
223140,116.4,276.50625424535184,1.9948163664730383
229437,112.2,262.0244703429913,3.7605904025127184
233766,113.5,257.16135508403136,1.7467321994094263
237863,110.1,254.08642964506384,2.163628891020817
243442,110.5,254.19817913816655,1.6327686986904104
249099,111.5,250.08572519365458,1.8806040457663613
254008,107.7,241.9435046920501,1.591861398732903
258633,110.3,251.18244342067365,1.2060206313070396
263983,111.2,254.5436217863043,1.6191482560438788
269098,111.2,253.28861139088636,0.6641936821110046
273080,111.3,254.33332237991664,1.339447302419543
278159,111.9,256.1872673788431,1.4325197662449871
283586,109.6,251.16850562454601,1.4517848452379492
288429,109.5,249.4930166869095,1.549131549186504
294529,109.4,249.19269926287265,1.2967584934087368
299462,109.3,247.74254570024831,1.6726018321511897
304968,110.4,250.1686469967974,1.7235837402491005
309786,111.1,251.18332718618927,1.4535476777165555
315831,110.5,252.11461267794465,1.3370756894422824
320684,108.3,246.15328165977468,1.2313914343237768
326172,107.7,244.7216108231104,1.585516582398136
331437,108.5,246.31434846019397,1.2995905781248462
337126,108.2,246.58218687383214,1.4884583805211151
341368,109.2,247.93280307446707,1.2611201555971299
345808,110.9,251.1939550079156,1.5709315403228783
351370,111.1,251.21593414851947,1.1081028563156072
356572,111.4,253.07197484917552,1.6313445524595986
361202,110.5,250.57790680309117,1.4029671832312032
365857,109.5,246.7890646335461,1.5696523033956962
371722,110.1,249.6002131484649,1.1296242797923297
377383,109.1,246.82576272690284,1.1211445495344514
382225,108.5,245.71611217894127,1.4751553728595261
386422,108.6,246.16362362848886,1.3804050014578484
391588,106.5,242.07718964754787,1.4770869000833553
396217,104.7,238.1643428775199,1.3654950954071774
401758,105.2,239.0141013385049,1.4536095439334347
406582,105.6,240.08072570619066,1.4236360326582207
411612,106.1,241.609112165779,1.1518124781093182
417391,106.6,243.55203706435,1.4451698552047842
422650,106.7,244.48513800092582,1.5130847428243248
428238,106.3,243.5718334769061,1.5571274692616595
432825,106.1,242.79876477448775,1.1247757075864004
437743,105.4,241.547140982549,1.1379353240443957
443476,106.8,245.06967906052637,1.4031123221803332
448309,105.5,242.63429572310102,1.7007810554310445
453946,101.1,228.52087577463112,2.2979779094721713
458650,94.2,209.19304268470472,2.8643422468386643
463329,89.4,194.25638800040255,3.043240079407457
469967,85.3,182.0822792031808,2.7273224799159954
475967,47.6,84.27000035207426,31.527901772095476
480967,71.5,142.35671247610884,5.350454500755767
485282,63.9,122.4674251452105,20.697552490446856
490144,71.9,143.86394081581832,6.1951515552972
495184,79.5,166.43860772754897,2.800510961167211
500326,81.9,174.31814086880644,3.4331462674633255
505891,79.6,167.09416876205876,2.8139865147341605
510725,78.1,162.26079449864338,3.130495056493075
515572,84.0,181.0174593064891,2.4933149394318344
520272,77.6,161.0535311476243,2.795551567600489
526509,46.9,85.02819064618032,41.990960259482236
532218,47.4,86.61889104914198,44.80300516859723
537021,70.1,140.46602086433262,27.907487819055593
542138,67.9,132.2763171374468,3.3751966876703996
547235,65.4,125.6500756503211,3.1106536393670425
551836,66.1,127.96697688478544,2.5190179544410762
557083,63.3,120.25680570854362,2.063636537754109
561308,66.3,128.73312639005894,2.1361711340763767
565674,64.1,122.55859092052219,2.5420116122852625
570867,64.0,122.34994959870217,2.9117564894063652
576950,58.3,106.73013127019757,2.4892378548360754
582989,58.7,107.31289489860299,2.524891360936733
587250,60.6,112.33975816660794,2.642031555385651
592428,60.4,111.82150060292986,3.267297482722413
597428,58.9,107.35753897206362,2.854071788769202
