,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
24,-10.606345313005964,-10.788378749745505,-10.639026420334096,-10.22601086776101,-10.779637220409704,-10.4571967971332,25000
25,-8.079076955996477,-7.9597412564946675,-7.365129725720677,-8.180796237298452,-8.232442725410827,-8.281192914772715,26000
26,-10.214988613167868,-10.076225312744686,-9.250984550081283,-9.434221185041949,-10.048994659307544,-9.788518804265394,27000
27,-11.235103376857557,-11.375977709503944,-11.261939972657263,-11.54054510473953,-11.340795371461358,-10.9101584409794,28000
28,-11.86674622520667,-12.397374851442008,-12.676272968562571,-13.050889037526574,-12.830081797954676,-12.23036167463927,29000
29,-9.695520629423704,-8.266774815289704,-9.838048005627087,-9.8038231933001,-10.108648966240278,-9.830894576521008,30000
30,-9.398611222887748,-9.980830309431292,-9.692739651776941,-10.020434173623261,-9.699592716703977,-10.694591484135342,31000
31,-9.492375009219606,-9.171768946103946,-9.320114004934172,-9.372515142708387,-9.425820822045313,-9.03953593735076,32000
32,-7.172904910579462,-8.567620981715608,-7.229830867783582,-8.529520599385087,-7.265791566023953,-8.44124011823386,33000
33,-8.099975948069243,-8.846815420192458,-8.170437903402894,-8.529528091359028,-7.887990343372271,-7.558359743616631,34000
34,-6.163816508335419,-6.549585058636581,-6.06778593068968,-6.070487548863019,-6.097882955278967,-6.032273885143903,35000
35,-6.675704553691542,-6.560024985391507,-6.595601148913525,-6.6922030869537625,-6.736684135949969,-6.790298297506695,36000
36,-6.324145526728707,-6.318836618784917,-6.2348721495520385,-6.3548854980012575,-6.29724989959578,-6.3195525462650695,37000
37,-5.054775505971064,-5.017792287568263,-4.951170254252496,-4.978471866575909,-4.984774774315082,-5.062770923233684,38000
38,-4.125673547070596,-4.110064117454331,-4.098254602793982,-4.264510762214716,-4.022258121020726,-4.128096045989682,39000
39,-4.428424328051087,-4.385468221324576,-4.370499987026082,-4.416475756277997,-4.441578845164381,-4.441329756529226,40000
40,-3.8601236012033584,-3.9570153971352804,-3.828064620719288,-3.8729492283075864,-3.951598547839285,-3.9157318365549214,41000
41,-3.809029768083989,-3.7592513712242215,-3.72298786559168,-3.6580776985774257,-3.747940943637536,-3.8747985305804935,42000
42,-4.020722428230251,-3.726875773516436,-4.187005775283218,-4.190895243917991,-3.9146119342089674,-3.7733142436807574,43000
43,-6.065855990503324,-4.683883664835207,-5.964947424817262,-5.90834445761109,-6.00449878859189,-4.731177347987602,44000
44,-7.117657149659012,-6.952593046472293,-7.054324584026712,-7.133871685417957,-7.016416430646347,-6.970463487455631,45000
45,-6.273753882555775,-6.425380877513028,-6.3583822267827035,-6.154036934536315,-6.279915444278168,-6.261860557182381,46000
46,-6.680155372404894,-6.6298925506781,-6.664360117134909,-6.58456630641071,-6.650927922002705,-6.705174051098579,47000
47,-7.002055320777601,-7.288717098263051,-6.979224631774661,-7.374650082685036,-7.224475636347856,-7.3215873957918935,48000
48,-7.055864932689291,-7.322121547747238,-7.270556973815121,-7.00023560183087,-7.261979105235978,-7.281495167080815,49000
49,-4.129565906590751,-4.2936950680388835,-4.404197780544665,-4.410491998556461,-4.123496498215092,-4.279071857959638,50000
50,-5.748617678415165,-5.593342743190447,-5.623026369676312,-5.6162002578675985,-5.503782372375552,-5.732118943231745,51000
