,timestep,mean_reward,reward_stdev
146,778866,-771.0264474753823,454.73120200687623
147,783872,-904.9627395511206,368.51860609957015
148,788878,-958.7400937049307,513.2297177124195
149,793884,-935.2131677346252,334.63693743290884
150,798891,-840.5440720253343,436.1750354126971
151,803898,-1049.3931965435672,459.93528417518615
152,808904,-982.8413064247693,451.67493207445114
153,813911,-1164.8267198683964,406.7174613629096
154,818916,-579.0525862145707,351.3270109326302
155,823923,-1010.8820756971103,497.49223388066076
156,828928,-1272.5613674723606,955.9842746501128
157,833936,-519.730678493873,551.2473972173028
158,838943,-565.9068037352698,398.7178834339852
159,843949,-859.7368563036632,410.712134205828
160,848958,-511.52642355312554,408.98211053410466
161,853968,-567.7246118926661,332.149644614868
162,858974,-568.9315765090122,289.7818244630838
163,863979,-713.1077072751722,304.13299422713436
164,868986,-672.5462505880403,500.6070219545556
165,873993,-589.9350766425057,461.7688258749308
166,879001,-789.8737615302208,449.86526060563386
167,884008,-521.3077542587127,404.27138297337507
168,889014,-764.0331020554631,332.0743875740823
169,894021,-846.7261861406308,299.50498360478133
170,899028,-942.872672135384,401.50358863688797
171,904035,-1026.2689990434478,217.25144005573756
172,909040,-1139.7177378162926,235.94049593536442
173,914045,-1045.6062185168846,375.2428915565129
174,919050,-1113.9626129659182,421.6944704059985
175,924055,-1521.8479211987308,598.1811427528178
176,929060,-1193.2523522761965,60.603448377296715
177,934067,-984.5849010532062,230.8629564863488
178,939073,-991.9711661903126,494.33326913443
179,944078,-1499.9095738277642,484.1118418744735
180,949083,-1333.1206153308224,235.2071131534241
181,954088,-1589.29616950543,364.020714304926
182,959093,-1316.884747141913,295.67736138046337
183,964098,-1403.6615751783013,529.2875520076717
