,reward_0,reward_1,reward_2,timestep
34,-273.82327145842606,-365.68891766341886,-113.90006903582221,34000
35,-400.549117669958,-199.13414375001298,-317.55868881363307,35000
36,-281.13965048942475,-261.468857365618,-294.2717688628293,36000
37,-301.94829722249517,-128.55895688492075,-288.91114197106197,37000
38,-295.87783362413506,-388.51200680811576,-344.9143624311111,38000
39,-158.5682686867046,-177.3602675117868,-214.79010223461043,39000
40,-189.6461990909116,-244.0278497853661,-187.16877339286424,40000
41,-277.6277634839231,-400.97516276506053,-204.63618216475777,41000
42,-355.9195606912637,-164.55381866540526,-172.6990506308998,42000
43,-351.44136290077984,-199.92700108930913,-215.57274314351397,43000
44,-361.85474116181797,-525.9441828292654,-214.82088396235164,44000
45,-383.86180324950203,-166.79641040115703,-314.1189710127024,45000
46,-228.12606968590953,-307.45966667924074,-220.08069524446285,46000
47,-334.53030373169173,-259.7620125073952,-352.88213612671075,47000
48,-284.0723352976795,-278.75785334060066,-208.00296478157327,48000
49,-260.3658803046206,-322.82662257681915,-305.8534903575446,49000
50,-210.2718662176392,-228.95849714294084,-270.6361466098318,50000
51,-298.01439310879135,-262.4866913813784,-258.62965128383695,51000
52,-159.19154340169425,-285.322834081254,-326.252328605398,52000
53,-340.9936550490539,-214.73896113819012,-277.69976237712086,53000
54,-442.81601520614447,-260.549935379358,-471.01368520862184,54000
55,-274.0038498807007,-366.5119996818226,-321.5893849811606,55000
56,-331.3086198247555,-346.87810821099134,-199.43350769148213,56000
57,-115.39357605781164,-344.00202722193853,-323.0215633458342,57000
58,-354.8637781222333,-108.9335517213232,-307.0079273914351,58000
59,-339.5800998356675,-203.79130232047385,-439.9465280067751,59000
60,-152.35854917485682,-255.32578938599664,-407.1732551302252,60000
61,-213.10235080928598,-187.38437166383625,-263.0551488703105,61000
62,-197.27655263338286,-374.4136991456109,-309.2197595338579,62000
63,-268.116857554192,-309.2744376153348,-275.0895392715771,63000
64,-144.51891924133733,-241.19981358349443,-270.9096901628769,64000
65,-372.9618547937232,-472.7428403551383,-499.5606027019475,65000
66,-388.76729768706963,-291.7112945411026,-345.9682859585283,66000
67,-238.33839675096468,-316.753073190027,-276.2807316356925,67000
68,-268.43395850060455,-192.28752417147015,-375.7346579936752,68000
69,-255.0491614526659,-237.55638623099733,-295.929828999185,69000
70,-210.2247862336608,-307.5169146310328,-224.65887094040255,70000
71,-194.723789144158,-318.2731159662041,-216.60760565556163,71000
72,-371.7348587749145,-281.39491570229643,-267.68656270714405,72000
73,-255.412908359953,-125.66869070968808,-239.47641824597974,73000
74,-258.40721143621266,-356.5850666810105,-328.58677279394186,74000
75,-307.6402023650135,-263.80071961929076,-349.5391167909424,75000
76,-216.07723725965218,-202.20714606933612,-258.76352901195145,76000
77,-191.84040048766087,-259.81310330960173,-271.2081766657335,77000
78,-352.2618770878433,-412.0431340840745,-255.19933486695766,78000
79,-384.0312539239923,-213.93888195026216,-324.98954748135975,79000
80,-387.33547195131405,-368.1313248843747,-330.9438355668993,80000
81,-377.2489765903645,-270.6098325605022,-427.11230873015893,81000
82,-280.3330264756556,-324.23505048916974,-412.298848949746,82000
83,-380.9796150997629,-450.65955956051124,-201.6292439468216,83000
84,-176.54336980768255,-341.70596533626974,-213.4872680271433,84000
85,-210.07853708196393,-347.30823218662596,-211.3185342075982,85000
86,-427.41715859753407,-254.71214739605264,-251.53963870142712,86000
87,-197.739438329939,-175.4891288643498,-413.0518094236727,87000
88,-134.050741183398,-446.93123705462597,-361.3263403033099,88000
89,-353.26755373978546,-329.481199631674,-228.88747982637798,89000
90,-313.79253681151346,-393.06280163166645,-291.2951969615707,90000
91,-322.64560855332985,-279.1043613302443,-212.99227642361456,91000
92,-115.52053758112018,-367.1729148771106,-197.57862986164577,92000
93,-319.0060560005641,-386.5981943327182,-495.1387155804599,93000
94,-198.55484947959766,-504.6403835721982,-219.52469690375864,94000
95,-113.6865210318941,-264.04191467918594,-280.3221254131861,95000
96,-414.27407915851677,-127.6991293600954,-290.4096297860451,96000
97,-274.2425697283578,-255.95674390566586,-189.9643110716778,97000
98,-227.31086849732242,-355.7389787301547,-188.20367214579358,98000
99,-217.33663369558994,-236.90460466699133,-231.64215429287142,99000
100,-327.4480966109143,-371.3500291057327,-254.21382809073526,100000
101,-375.26241318725346,-280.27293219530475,-189.56372582688047,101000
102,-414.38474748885875,-192.94154729302528,-229.88049236023656,102000
103,-329.0384952922319,-257.498200342228,-326.85507016038633,103000
104,-314.0067255863022,-356.1016468652128,-214.46013473652997,104000
105,-414.58472278056314,-154.38910013504753,-268.75107767218316,105000
106,-271.90337148582176,-292.68822148978137,-226.61912721487778,106000
107,-287.7539943959855,-293.4855288482977,-181.58201902890193,107000
108,-223.0562559945048,-276.2040497439033,-361.52893131382365,108000
109,-329.2644952252848,-282.26376956217854,-246.65357695491195,109000
110,-395.3646990628462,-187.0571494110794,-272.7653241070919,110000
111,-334.2017870594884,-278.87119419777605,-290.91445713167525,111000
112,-317.83306583175806,-308.1166856679476,-367.3911569806082,112000
113,-303.27861157207604,-399.64712717265076,-493.34576195919146,113000
114,-349.68811836350574,-335.94885381866686,-229.72672941414618,114000
115,-242.40992579697982,-316.58932612364646,-198.3461489791962,115000
116,-432.22601993625676,-420.89878977612176,-262.0609645860288,116000
117,-425.0700506875189,-159.68689606793671,-382.75771372065606,117000
118,-266.14498583083054,-231.37633730396936,-449.14831833341566,118000
119,-330.8123620971983,-262.7547784739116,-259.34094665458974,119000
120,-192.53513656246412,-266.1965168431909,-252.38150003817458,120000
121,-193.1936411216067,-344.44744476481446,-349.004828775966,121000
122,-264.41770364392335,-370.8722929136072,-304.21374694635375,122000
123,-396.7801599995694,-424.8821615157338,-376.3186265700322,123000
124,-313.6470905722869,-308.9880315843903,-260.8386947873909,124000
125,-324.0783615234047,-284.84584493229744,-216.5568989112291,125000
126,-347.01455044748565,-273.14631796987175,-367.68115200255994,126000
127,-237.74691729354765,-174.62929388879152,-297.25943268747307,127000
128,-374.0455935059574,-245.85025616696763,-237.0118390667817,128000
129,-429.1746296687013,-448.8588354852658,-244.97741419085412,129000
130,-282.37995104871305,-244.89397744646462,-254.76454518517912,130000
131,-205.38797946091393,-233.13889673214308,-220.08636620769775,131000
132,-270.02823970087763,-299.5947554288603,-207.14349363895082,132000
133,-417.18604469291273,-321.5760262073344,-219.17074265516385,133000
134,-411.67301721954925,-246.6442444546362,-229.1771437330897,134000
135,-253.58282223980723,-173.56819764695382,-394.4569675073096,135000
136,-343.13402678463603,-183.53645311771157,-212.96536444399803,136000
137,-379.46792125323446,-217.22075964519394,-176.49709031121375,137000
138,-348.1325290981773,-261.03438023658543,-377.731828169402,138000
139,-431.215191602215,-371.6959349861893,-282.94065738245484,139000
140,-260.851692875404,-230.27249406859502,-377.76051537126534,140000
141,-264.7139192896815,-348.2469145633101,-221.79474475713607,141000
142,-302.2999611782769,-399.66335021873726,-298.30469718934575,142000
143,-343.41730980155876,-211.61192305864097,-188.62197310070587,143000
144,-122.03127941360738,-415.46427390593806,-232.65505651824674,144000
145,-347.2880246447095,-392.98989200488205,-352.5950307097992,145000
146,-315.2549110402378,-186.74627871120686,-292.460490687042,146000
147,-157.94727018742185,-354.86831410132044,-296.31490211809364,147000
148,-290.4611393492098,-234.1803688376323,-117.22741063106989,148000
149,-277.66213735412333,-247.1880204184688,-381.1588214396223,149000
