Timestep, Average Length, Average Reward, Std
331437,108.5,246.31452110228264,1.2995303460862124
337126,108.2,246.58217549986915,1.4884618592705887
341368,109.2,247.93281405813633,1.26112316968829
345808,110.9,251.1939497618906,1.5709389473828663
351370,111.1,251.21593525442987,1.1081025664156103
356572,111.4,253.07197437178638,1.6313461302355383
361202,110.5,250.5779078003793,1.4029680072363127
365857,109.5,246.78906438612202,1.5696514097113348
371722,110.1,249.60021171834515,1.1296246001270778
377383,109.1,246.82576339773746,1.1211438710046309
382225,108.5,245.71611229625097,1.4751558988654752
386422,108.6,246.163624882566,1.380405667328269
391588,106.5,242.07719039469907,1.4770858150834736
396217,104.7,238.1643438207578,1.3654947835717466
401758,105.2,239.0141015964262,1.4536095130570383
406582,105.6,240.08072610393438,1.423635789365504
411612,106.1,241.60911280188574,1.1518121742933467
417391,106.6,243.55203472717835,1.4451703655687116
422650,106.7,244.48513855946777,1.5130878166924384
428238,106.3,243.5718342142956,1.5571281779162798
432825,106.1,242.79876500291215,1.1247752476305706
437743,105.4,241.54711561711497,1.137940287294844
443476,106.8,245.06968255856313,1.403109201854265
448309,105.5,242.63427807302247,1.7007905145965627
453946,101.1,228.52087578030765,2.297977374522245
458650,94.2,209.19303874922798,2.864345177451461
463329,89.4,194.25638787315611,3.043240573205999
469967,85.3,182.08227889899723,2.727322376986952
475967,47.6,84.27000033827976,31.527902131185176
480967,71.5,142.3567125024531,5.350454853157817
485282,63.9,122.46742531071818,20.69755262937081
490144,71.9,143.86394064898806,6.195151469465903
495184,79.5,166.4386077654918,2.8005107164636573
500326,81.9,174.31814045700025,3.4331388315230202
505891,79.6,167.09416945121166,2.813987596521206
510725,78.1,162.26078828564906,3.1304919437803242
515572,84.0,181.01745942625803,2.4933154511000657
520272,77.6,161.0535304650184,2.7955515837856897
526509,46.9,85.02819065652389,41.99095964942232
532218,47.4,86.61889120275444,44.80300501789667
537021,70.1,140.46602031050446,27.90748757207723
542138,67.9,132.2763164729003,3.375196598899548
547235,65.4,125.6500745591853,3.1106536809994885
551836,66.1,127.9669755157511,2.5190182892308197
557083,63.3,120.25680427622642,2.063636370834995
561308,66.3,128.73312516205903,2.136171025050749
565674,64.1,122.55858994276609,2.5420116410724907
570867,64.0,122.34994836215321,2.911756636554607
576950,58.3,106.73013104241033,2.489238315180285
582989,58.7,107.31289372805364,2.5248913718128474
